Name,Album
Chris Galland,"[""Hollywood's Bleeding"", 'Legends Never Die']"
Jeremie Inhaber,"[""Hollywood's Bleeding"", 'Legends Never Die']"
Robin Florent,"[""Hollywood's Bleeding"", 'Legends Never Die']"
Louis Bell,"[""Hollywood's Bleeding"", 'beerbongs & bentleys']"
Mike Bozzi,"[""Hollywood's Bleeding"", 'Please Excuse Me For Being Antisocial']"
Manny Marroquin,"[""Hollywood's Bleeding"", 'Legends Never Die', 'beerbongs & bentleys']"
Manny Maroquin,"[""Hollywood's Bleeding"", 'beerbongs & bentleys']"
"Princston ""Perfect Harmany"" Terry","['My Turn', 'Shoot For The Stars Aim For The Moon']"
Stephen “DotCom” Farrow,"['My Turn', 'Shoot For The Stars Aim For The Moon']"
Thomas “Tillie” Mann,"['My Turn', 'Shoot For The Stars Aim For The Moon']"
"Curtis ""Sircut"" Bye","['Please Excuse Me For Being Antisocial', 'BLAME IT ON BABY']"
"Cyrus ""NOIS"" Taghipour","['Please Excuse Me For Being Antisocial', 'BLAME IT ON BABY']"
Nicolas de Porcel,"['Please Excuse Me For Being Antisocial', 'BLAME IT ON BABY']"
"Derek ""MixedByAli"" Ali","['Please Excuse Me For Being Antisocial', 'BLAME IT ON BABY']"
Chris Dennis,"['Please Excuse Me For Being Antisocial', 'Shoot For The Stars Aim For The Moon', 'BLAME IT ON BABY']"
"Shawn ""Source"" Jarrett","['Shoot For The Stars Aim For The Moon', 'BLAME IT ON BABY']"